Cliente;Lugar
AMEC ;
Arcanus ;Durazno
Automotora Carrica ;Bulevar Artigas
Automotora Carrica ;Av. Millan
Banco de Seguro ;Casa Central
Banco de Seguro ;Bulevar Artigas
Banco de Seguro ;Casa Central - Garaje
Bas ;Melo (506)
Bas ;Florida (509)
Bas ;San Jose (531)
Bas ;Fray Bentos (532)
Bas ;Durazno (515)
Bas ;Minas (520)
Bas ;Colonia (523)
Bas ;Mercedes (518)
Bas ;Trinidad (517)
Bas ;8 de octubre (511)
Berdick ;Planta
Berdick ;Portero
Berdick ;Planta Nueva
Berdick ;Oficina
Capacitación Limpieza;
Carolina Mangarelli ;Lagomar
Carrica automotores ;Puente de las Americas
Carrica automotores ;Prado
Casa Valentin ;
Casas Lagomar ;Graciela Garcia
Casas Lagomar ;Carolina Mangarelli
Casas Lagomar ;Martha Garcia
Casmu;Sanatorio 2 Torre 1 Piso 6
Casmu;Sanatorio 2 Torre 2 Piso 2
Casmu;Sanatorio 2 Torre 2 Urgencia
Casmu;Sanatorio 2 Policlinico
Casmu;Sanatorio 2 Torre 1 Piso 4
Casmu;Sanatorio 2 Torre 1 Piso 3
Casmu;Sanatorio 2 Torre 1 Piso 5
Casmu;Sanatorio 2 Torre 2
Casmu;Sanatorio 2 Torre 1 Piso 2
Casmu;Sanatorio 2 Ropería
Casmu;Sanatorio 2 Asilo
Casmu;Sanatorio 2 Torre 1 Piso 1
Casmu;Sanatorio 2
Casmu;Sanatorio 2 Torre 2 Urgencia Ginecológica
Casmu;Sanatorio 2 Torre 1
Casmu;Sanatorio 2 Torre 2 Cuartos Medicos
Casmu;Sanatorio 2 Torre 1 Punta
Casmu;Sanatorio 2 Centro Mamario
Casmu;Sanatorio 2 Torre 2 Abreu
Casmu;Sanatorio 2 Torre 2 PB y Sub
Casmu;Sanatorio 2 Local 8
Casmu;Sanatorio 2 Asilo Almacenes
Casmu;Sanatorio 2 Policlinico Tomógrafo
Casmu;Sanatorio 2 Torre 2 Urgencia Pediátrica
Casmu;Sanatorio 2 Torre 2 Piso 5
Casmu;Sanatorio 2 Local 8 Lavado de Móviles
Casmu;Sanatorio 2 Torre 2 Piso 1
Casmu;Sanatorio 2 Torre 2 SOE
Casmu;Sanatorio 2 Asilo Pańol
Casmu;Sanatorio 2 Asilo Contact Center
Casmu;Sanatorio 2 Torre 2 Cocina
Casmu;Sanatorio 2 Asilo Medicamentos
Casmu;Sanatorio 2 Piscina
Casmu;Sanatorio 2 Torre 2 Piso 3
Casmu;Sanatorio 2 Policlínico Tomógrafo
Casmu;Sanatorio 2 Taller Veracierto
Casmu;Sanatorio 2 Cabina Abreu
Casmu ;Upeca Portones
Casmu ;Sanatorio 1 Odontología
Casmu ;Sanatorio 4
Casmu ;Sanatorio 1
Casmu ;Upeca Maldonado
Casmu ;Upeca Punta Carretas
Casmu ;1727 Bv Artigas 1910
Casmu ;Upeca Paso de la Arena
Casmu ;Sanatorio 4 Oncologia
Casmu ;1727 Agraciada
Casmu ;Upeca Colon
Casmu ;1727 Malvin Norte
Casmu ;Sanatorio 4 Centro Medico
Casmu ;Upeca Solymar
Casmu ;Taller Central Veracierto
Casmu ;1727 Solymar
Casmu ;Upeca Cerro
Casmu ;Upeca Guana
Casmu ;Upeca Cordon
Casmu ;Sanatorio 1 Salud Mental
Casmu ;Upeca Paso Carrasco
Casmu ;Upeca Agraciada
Casmu ;Upeca Piriapolis
Casmu ;Upeca Piedras Blancas
Casmu ;Upeca Parque Posadas
Casmu ;Upeca UAM
Casmu ;Upeca Parque Batlle
Casmu ;Centro Oftalmologico
Casmu ;1727 Colon
Casmu ;Upeca Tres cruces
Casmu ;Sanatorio 1 Vacunacion
Casmu ;1727 Piedras Blancas
Casmu ;Upeca Sur y Palermo
Casmu ;Sanatorio 1 Farmacia
Casmu ;Upeca Malvin Norte
Casmu ;Sanatorio 1 - Adicional Upeca Cordon
Casmu ;1727 Paso de la arena
Casmu ;Sanatorio 4 Hemodialisis
Casmu ;Referente Vigilante Auxiliar
Casmu ;Sanatorio 2 Torre 2
Casmu ;Monitoreo
Casmu ;Sanatorio 2 Local 8
Casmu ;Deposito Cerro Adicional
Casmu ;Sanatorio 1 Cabina
Casmu ;Sanatorio Torre 1
Casmu ;Guana Centro Oftalmologico
Casmu ;Solymar (movil 15)
Casmu ;1727 Bv. Artigas
Casmu ;Sanatorio 2 Salud Mental
Casmu ;Sanatorio 2 Cabina Asilo
Casmu ;Sanatorio 2 Policlínico
Casmu ;Sanatorio 2 Policlinico
Casmu ;Punta Carretas
Casmu ;Sanatorio 2 CTI
Casmu ;Centro Mamario
Casmu ;Upeca Barrio Sur y Palermo
Casmu ;Malvin Alto (movil 1)
Casmu ;Encuesta
Casmu ;Capacitacion Administrativo
Casmu ;Colon (movil 9)
Casmu ;Piedras Blancas (movil 7)
Casmu ;Paso de la Arena (movil 8)
Casmu ;Tres Cruces (movil 2)
Casmu ;Tres Cruces (movil 5)
Casmu ;Tres Cruces (movil 3)
Casmu ;Prado (movil 30)
Casmu ;Centro Oftalmologico Guana
Casmu ;Prado (movil 4)
Casmu ;Sanatorio 2 Torre 1
Casmu ;Solymar (movil 40)
Casmu ;Sanatorio 2
Celia ;Limpieza
CES Seguridad ;Grito de Gloria
Ciudad Pinturas ;Giannatassio
Claro ;CAC Paso Molino
Claro ;Mini CAC Las Piedras
Claro ;Mini CAC Minas
Claro ;CAC Costa Urbana
Claro ;Isla Shopping Geant
Claro ;Mini CAC Mercedes
Claro ;Mini CAC Rivera
Claro ;Mini CAC Florida
Claro ;CAC 18 De Julio
Claro ;Mini CAC Tacuarembo
Claro ;Mini CAC Artigas
Claro ;CAC Paysandů
Claro ;CAC Salto
Claro ;CAC Uniňn
Claro ;Isla Nuevo Centro
Claro ;Isla Tres Cruces
Claro ;CAC Maldonado
Claro ;San Martin Edificio Corporativo
Claro ;Mini CAC Pando
Claro ;Isla Punta Carretas
Claro ;Isla Portones Shopping
Claro ;Atlántida
Claro ;Isla Montevideo Shopping
Clinica Lura ;
Cooke Uruguay ;
Decosol ;Via Disegno
Decosol ;Bagno & Company Av. Italia
Edificio Amezaga ;
Edificio Charrua ;
Edificio Charrua ;Barbacoa
Edificio Paullier ;
Edificio San Martin  ;
Edificio Thays ;
Glic Global ;Tienda Online
Hif Global ;
Hora de Lactancia;
Hospital BSE ;
Hotel Ibis ;
Indian;Atlantico
Indian ;Punta Market Punta del Este
Indian ;Fragata
Indian ;Punta Shopping
Indian ;Gorlero
Indian ;Ariel
Indian ;Portones
Indian ;Maldonado
Indian ;Montevideo Shopping
INDIAN Chic Parisien ;Salto
INDIAN Chic Parisien ;Tacuarembo
Indian Fragata ;
Indian Gorlero ;
Indian Punta Market ;
L&G ;
La Molienda ;Sarandi
La Molienda ;Ejido
La Molienda ;Rondeau Cocina
La Molienda ;18 de Julio
La Molienda ;Rondeau Oficina
La Molienda ;Uruguay
La Molienda Colonia ;
Lactosan ;
Logitech ;
LUGAR DE PRUEBA;
Mayorista el As ;
Microlab ;
Mundo Mac ;Punta Shopping
Nedabal ;
No convocado;
Nutriem Latam ;
Obra GSS;
Oficina ;
Plaza Correo ;
Porto vanila ;Planta elaboradora
Proyecto Medishop ;
Rawer Ltda ;
Riven SRL ;Clínica Dental Br. Artigas
Schmidt Premoldeados ;
Schmidt Premoldeados ;Obra
Silber Studio ;
Tata ;Young (152)
Tata ;Trinidad (145)
Tata ;Trinidad (335)
Tata ;San Jose (121)
Tata ;Florida (315)
Tata ;Mercedes (317)
Teyma ;Fac. Enfermería
Tort Itda;
Tort Itda ;2do Local
UDE ;Punta Del Este
Veiga Ventos ;Via Disegno
Viavip ;Smart Parking
Wine Select ;Vinos del Mundo
